'ID';'НАЗВАНИЕ';'СТУДИЯ';'ГОД ПРОИЗВОДСТВА';'РЕЖИССЁР';'СЦЕНАРИСТ';'ОПЕРАТОР';'ВОЗРАСТНАЯ КАТЕГОРИЯ';'ЖАНР';'СТРАНА';'КАТЕГОРИЯ';'ЦЕНА';'СЕБЕСТОИМОСТЬ';'СТАТУС'
'2163290';'Мизерере';'Лайонс Фильм, Патэ, ТФ 1Филм Продюксьон, Брио Фильм, Сага Сити, Сенатор Фильм Продюксьон, Ди Ди Продюксьон, ЮФилм/Фонд, Синемао, Канал +,Сине +';'2013';'Сильвен Уайт';'Жан-Кристоф Гранже, Ян Медже, Лорен Тернер, Сильвен Уайт';'Дени Руден';'«16+» для детей старше 16 лет';'Художественный';'Франция|Бельгия';'Кино';'390.0';'300.0';'o'
'2163291';'Час призраков';'Файв Стар Продакшн';'2012';'Иссара Нади, Кирати Нак-Интанон, Патчанон Тумджира';'Сукосин Аккарапат, Вутичай Вонгнофадол, Мончая Паничсарн, Наттапот Потчамниан, Кирати Рарикрак, Боб Сривонг, Чанинторн Улит';'Удом Ворафахун, Паном Промчат, Тирават Рудженатам';'«18+» запрещено для детей';'Художественный';'Тайланд';'Кино';'855.5999999999999';'713.0';'o'
'2163292';'Час призраков';'Файв Стар Продакшн';'2012';'Иссара Нади, Кирати Нак-Интанон, Патчанон Тумджира';'Сукосин Аккарапат, Вутичай Вонгнофадол, Мончая Паничсарн, Наттапот Потчамниан, Кирати Рарикрак, Боб Сривонг, Чанинторн Улит';'Удом Ворафахун, Паном Промчат, Тирават Рудженатам';'«18+» запрещено для детей';'Художественный';'Тайланд';'Кино';'520.0';'371.0';'o'
'2163293';'Отель "Гранд Будапешт"';'Скотт Рудин Продакшнз, Индиан Пантбруш, Студио Бабелсберг, Американ Эмпирикал Пикчерз, Фокс Серчлайт, ХХ век Фокс';'2014';'Уэс Андерсон';'Уэс Андерсон, Хьюго Гиннесс';'Роберт Д.Йоумен';'«16+» для детей старше 16 лет';'Художественный';'США|Германия';'Кино';'490.0';'377.0';'e'
'2163294';'Небраска';'Блю Лэйк Медиа Фанд, Бона Фиде Продакшнз, Эхо Лэйк Продакшнз';'2013';'Александр Пэйн';'Боб Нельсон';'Фидон Папамайкл';'«12+» для детей старше 12 лет';'Художественный';'США';'Кино';'330.0';'254.10000000000002';'o'
'2163295';'Она';'Аннапурна Пикчерз';'2013';'Спайк Джонс';'Спайк Джонс';'Хойте Ван Хойтема';'«16+» для детей старше 16 лет';'Художественный';'США';'Кино';'690.0';'493.0';'e'
'2163296';'Она';'Аннапурна Пикчерз';'2013';'Спайк Джонс';'Спайк Джонс';'Хойте Ван Хойтема';'«16+» для детей старше 16 лет';'Художественный';'США';'Кино';'600.0';'428.0';'o'
'2163297';'Тариф на прошлое';'ООО "Ланд Синема"';'2013';'П.Амелин';'Д.Новоселов';'К.Горячев';'«16+» для детей старше 16 лет';'Художественный';'Россия';'Видео';'396.0';'283.0';'e'
'2163298';'Адольф Адан. Жизель /По мотивам легенды, пересказанной Генрихом Гейне/. Постановка Royal Opera House';'Артс Алианс Медиа';'2013';'Кристофер Карр';'либретто Анри де Сен-Жоржа, Теофиля Готье и Жана Коралли';'';'«0+» для любой зрительской аудитории';'Прочие';'Великобритания';'Кино';'756.0';'582.0';'o'
'2163299';'Тяжелый случай.';'ООО "Кино-Арт"';'2013';'К.Мурзенко';'С.Зельвенский';'А.Дроздов';'«16+» для детей старше 16 лет';'Художественный';'Россия';'Кино';'845.0';'650.0';'o'
